# id;name;latitude;longitude;routes
3619951;Rua Ant“nio Anast cio, 269;-19.93460002;-44.20976192;260B
3619952;Rua Hilda Alves Novaes, 96;-19.93426214;-44.21117812;260B
3619953;Rua Sete, 19;-19.93409839;-44.21310111;260B
3619954;Rua Eur¡co Hermogenes de Oliveira, 375;-19.93362939;-44.21268805;260B
3619955;Rua Eur¡co Hermogenes de Oliveira, 231;-19.93364452;-44.21096384;260B
3619956;Rua Eur¡co Hermogenes de Oliveira, 172;-19.93337471;-44.20983731;260B
3619959;Rua D lia, 87;-19.93339310;-44.16851252;34
3619960;Rua Trinta e Dois, 49;-19.92627722;-44.17299181;34
3619961;Avenida Edmeia Mattos Lazzarotti, 1255;-19.96476731;-44.20131932;34,50,53,54A,54B,60,61,830C,90A,90B,910A
3647177;Rua Senador Firmino, 222;-19.91935870;-44.28431937;830B
3647178;Rua Senador Firmino, 240;-19.91940409;-44.28438911;830C
3647179;Rua Montes Claros, 1233;-19.91870305;-44.28283343;830B
3647180;Rua Montes Claros, 1233;-19.91863748;-44.28289243;830C
3647181;Rua Trˆs Pontas, 243;-19.91881905;-44.28027996;830B,830C
3647182;Rua Trˆs Pontas, 243;-19.91882913;-44.28019413;830C
3660220;Rua Coronel Ab¡lio Rodrigues Pereira, 632;-19.93647420;-44.20095889;30,40,830C
3660221;Rua Jos‚ Pio da Silva Cardoso, 717;-19.93431164;-44.20041831;40
3660222;Rua Imperatriz, 249;-19.95647051;-44.12021219;40
3663976;Rua Aguia Negra, 2;-19.92897835;-44.10319270;50
3663977;Rua Jovaci Gomes, 121;-19.94154029;-44.11089295;50
3663980;Rua Jardim do Serid¢, 209;-19.94993556;-44.12257894;53
3663981;Rua Rio Negro, 87;-19.94802923;-44.12729353;53
3663982;Rua Rio Negro, 876;-19.94856075;-44.13375543;53
3663983;Avenida Juiz Marco T£lio Isaac, 3000;-19.95363566;-44.13778939;53
3663990;Rua Jequi‚, 84;-19.94689704;-44.11507166;53
3663991;Rua Juazeiro, 124;-19.94776184;-44.11443866;53
3663992;Rua Nove, 1691;-19.93124151;-44.10249867;415,53
3663993;Rua Esperan‡a, 50;-19.93736555;-44.09838305;54A,54B
3663994;Avenida Pedro Diniz, 663;-19.94798161;-44.10088518;54A,54B
3663995;Rua N, 111;-19.94522876;-44.11711220;54A,54B
3663996;Rua Pitangueiras, 230b;-19.95866487;-44.15879333;54A
3663997;Rua Contagem, 67;-19.96343047;-44.17386460;54A,54B
3663998;Rua Pitangueiras, 348;-19.95735896;-44.15909636;54A
3663999;Rua Ita£, 224;-19.94101596;-44.10115710;54A,54B
3664000;Avenida SÆo Diniz, 2;-19.93920476;-44.09938378;54A,54B
3664001;Rua Joaquim Bonif cio, 689;-19.94822386;-44.16067098;54B
3664002;Rua SÆo Bento;-19.97755708;-44.15545516;60
3664003;Rua SÆo Bento;-19.97757221;-44.15537470;60
3664004;Rua Luzia Cƒndida de Jesus, 114;-19.97405202;-44.18216344;60
3664005;Rua Luzia Cƒndida de Jesus, 285;-19.97490775;-44.18412441;60
3664007;Rua Rio Grande do Sul, 336;-19.93991686;-44.19298005;
3664008;Rua Alentejo, 713;-19.97767206;-44.16078274;60
3664009;Rua Palma-de-Santa Rita, 361;-19.94063926;-44.16845336;61
3664010;Rua Rio Branco, 137;-19.94335271;-44.17172297;61
3664011;Rua Rio Branco, 137;-19.94329703;-44.17178854;61
3664012;Rua Campainha, 338;-19.94349342;-44.16984700;61
3664013;Rua Campainha, 333;-19.94353030;-44.16979247;61
3664014;Rua Ara‡ua¡, 404;-19.94317663;-44.17264080;61
3664015;Rua Rio Preto, 365;-19.94310200;-44.17267751;61
3664016;Rua Para£na, 215;-19.94182405;-44.17348727;61
3664017;Rua Jequitinhonha, 103;-19.94188961;-44.17344436;61
3664018;Rua Maria Madalena de Melo, 38;-19.98201321;-44.15299148;61
3664019;Rua Palma-de-Santa Rita, 361;-19.94061409;-44.16836648;61
3679185;Avenida Manducaia, 121;-19.95741043;-44.16101927;70
3679186;Rua Dom Afonso Henrique, 76a;-19.95483405;-44.16305935;70
3679187;Rua Miranda D'ouro, 240;-19.94941352;-44.16179141;70
3679188;Rua Miranda D'ouro, 211a;-19.94928262;-44.16186430;70
3679189;Rua Dom Afonso Henrique, 76a;-19.95482783;-44.16313290;70
3679190;Avenida Manducaia, 100;-19.95747504;-44.16104078;70
3679198;Rua das Ac cias, 56;-20.03176378;-44.23661238;90B
3679199;Rua Pitangui, 2;-19.96173813;-44.16022079;160A,160B,260A,260B,261,40,410,411,414,450,450B,50,61,PE67
4746052;Loja Bairro DecamÆo;-19.96670542;-44.21148044;
4746054;Terminal Rodovi rio de Betim (Shopping Partage);-19.96256244;-44.16231488;
4748090;Rodovia Presidente Costa e Silva, 294;-19.97743256;-44.25548315;314B
4748115;Avenida Parque B, 347 - Aroeiras;-19.98009171;-44.26168615;314A,314B
5359383;Rua Dona Silvina, 350;-19.93995535;-44.09714221;450B
5359384;Rua Dona Silvina, 330a;-19.93989429;-44.09697984;450B
5359924;Avenida Adutora V rzea das Flores, 3470;-19.94170986;-44.14701781;
5523106;Rua Alentejo, 1008;-19.98037848;-44.16171643;60
5523109;Rua Iguatu, 102;-20.02667981;-44.23926424;920
5747511;Alameda das RomÆs, 89;-20.02000586;-44.21308816;191
5747512;Alameda das RomÆs, 124;-20.02140704;-44.21254635;191
5747514;Rua Joaquim de Matos, 78;-20.02066571;-44.21025813;191
5747515;Rua Joaquim de Matos, 92;-20.01879829;-44.21071410;191
5747516;Alameda dos Algodoeiros, 10;-20.01781543;-44.21169043;191
5747517;Alameda das Cerejeiras, 235;-20.01640897;-44.21262384;191
5987068;Pra‡a Bom Pastor, 2019;-19.95664834;-44.15781721;54B
5987069;Avenida Manducaia, 545;-19.95648069;-44.15714532;54B
5987070;Avenida Manducaia, 756;-19.95593864;-44.15503442;54B
5987071;Avenida Manducaia, 230;-19.95591847;-44.15511757;54B
9645336;Avenida Coronel Ab¡lio Rodrigues Pereira, 632;-19.93630777;-44.20057978;30
9763833;Avenida Campo de Ourique, 889;-19.95111811;-44.15498078;34
