"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3375058,"90","Rua Capela Nova, 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.96330086,-44.16832628
3375078,"90","Rua C¡cero Rabˆlo de Vasconcelos, 410",NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.94259199,-44.18669198
3375088,"90","Avenida Edmeia Mattos Lazzarotti, 1382",NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,-19.93733,-44.17919008
3375183,"90","Rua Amoras, 42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.94741,-44.17261046
3375184,"90","Avenida SÆo Paulo, 156",NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.945884,-44.17305946
3375185,"90","Avenida SÆo Paulo, 302",NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.94480954,-44.17348605
3375223,"90","Avenida Edmeia Mattos Lazzarotti, 3654",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,-19.94813172,-44.19106498
3375242,"90","Avenida SÆo Paulo, 735",NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,-19.94092373,-44.17593678
3375243,"90","Avenida SÆo Paulo, 485",NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94341491,-44.17455781
3375244,"90","Rua SÆo Salvador, 10",NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,-19.94575976,-44.17346375
3375245,"90","Rua Manhua‡u, 21",NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94756083,-44.17289519
3375246,"90","Avenida SÆo Paulo, 174",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94889532,-44.17328081
3375247,"90","Rua Natal, 105",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,-19.9493924,-44.175018
3375248,"90","Rua SÆo Lu¡s, 405",NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.95059042,-44.17407159
3375250,"90","Rua SÆo Lu¡s, 75",NA,NA,NA,NA,NA,13,NA,6,NA,2,2,NA,NA,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.94958808,-44.17130695
3375251,"90","Avenida SÆo Paulo, 574",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94227026,-44.17447833
3375259,"90","Avenida SÆo Paulo, 706",NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94124695,-44.17522218
3375260,"90","Avenida Edn‚ia Matos Lazaroti, 417",NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,-19.93800789,-44.17780616
3375261,"90","Avenida Edn‚ia Matos Lazaroti, 416",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.93790131,-44.17768192
3375416,"90","MG-060, 1273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96943187,-44.20286197
3375447,"90","Rua Coronel Jos‚ Persilva, 384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96174171,-44.18957279
3375448,"90","Rua Rui Barbosa, 197",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96354024,-44.18851283
3375938,"90","Rua Ant“nio Alves de Oliveira, 373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96913593,-44.20484604
3375939,"90","Avenida Amazonas, 1086",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96822496,-44.20148353
3375941,"90","Rua Rio de Janeiro, 420",NA,NA,NA,NA,NA,6,NA,3,NA,4,4,4,3,7,5,7,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.96818387,-44.19989921
3375943,"90","Avenida Governador Valadares, 43",NA,NA,NA,NA,NA,5,NA,11,NA,10,2,NA,4,NA,1,20,NA,9,9,NA,NA,NA,NA,NA,NA,-19.96733842,-44.20132766
3375944,"90","Rua Doutor Ant“nio Gravata, 125",NA,NA,NA,NA,NA,3,NA,4,NA,8,2,NA,1,NA,NA,9,NA,2,5,NA,NA,NA,NA,NA,NA,-19.96678879,-44.20349301
3375945,"90","Rua Amin Fares Debian, 167",NA,NA,NA,NA,NA,9,NA,2,NA,4,8,5,2,5,1,18,NA,3,NA,NA,NA,NA,NA,NA,NA,-19.96782363,-44.20326572
3375947,"90","Avenida Bandeirantes, 210",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96410503,-44.19066508
3375949,"90","Rua Inconfidˆncia, 357",NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,1,1,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,-19.96686413,-44.1966118
3375951,"90","Avenida Juscelino Kubitschek, 1065",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.97517814,-44.19475123
3375963,"90","Avenida Sebastiao Dayrrel De Lima, 121",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.9744374,-44.20079451
3375965,"90","Avenida SebastiÆo Dayrell de Lima, 372",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.97694475,-44.20027161
